model_variant,display_name,row_subset,selection_eligible,simplicity_rank,row_count,source_group_count,valid_heldout_source_group_count,macro_roc_auc,macro_pr_auc,weighted_roc_auc,weighted_pr_auc,fallback_roc_auc,fallback_pr_auc,brier_score,expected_calibration_error,best_threshold,best_threshold_precision,best_threshold_recall,best_threshold_coverage
whole_pair_kmer,Whole-pair k-mer,strict_labeled_all_rows,True,1,5573,84,11,0.5568805579716529,0.643222307283748,0.6094634053339291,0.6363378949678994,0.5246038543897217,0.8163895516724559,0.26369644062643816,0.301623070527974,0.7,0.8265895953757225,0.30620985010706636,0.30511463844797176
heavy_only_kmer,Heavy-only k-mer,strict_labeled_all_rows,True,2,5573,84,11,0.5555266012477257,0.6448609517720313,0.5976821393386553,0.6243423378775359,0.49887580299785866,0.8162990954660767,0.2707080644326449,0.3059830300007309,0.7,0.8304093567251462,0.30406852248394006,0.30158730158730157
paired_only_whole_pair_kmer,Paired-only whole-pair k-mer,strict_labeled_paired_rows_only,False,3,5092,64,8,0.5759998271091625,0.5601775964617107,0.6060016814219179,0.6022513746829221,,,0.2718984388543313,0.4800919588606491,0.9,1.0,0.00663716814159292,0.006578947368421052
cdr_region_kmer,CDR/region k-mer,strict_labeled_rows_with_cdr_text,True,4,5573,84,11,0.5317640134172941,0.6205417884534484,0.5773150808700014,0.6090749701014218,0.5631584582441114,0.8589082447677233,0.24918131236889832,0.3068071217931023,0.8,1.0,0.010706638115631691,0.008818342151675485
whole_plus_cdr_kmer,Whole-pair plus CDR k-mer,strict_labeled_all_rows,True,5,5573,84,11,0.5617358076051505,0.6427212626089372,0.6059195793285667,0.6344708597375927,0.5322912205567452,0.8268448517854129,0.2631546371595895,0.29862063067819156,0.8,0.8062015503875969,0.22269807280513917,0.2275132275132275
rbd_or_target_region_subset_kmer,RBD/target-region subset k-mer,strict_labeled_rbd_subset,False,6,4820,79,10,0.5960038302448994,0.6473308997074576,0.6169958861452407,0.6627546361347892,0.7039373390106713,0.8154159233958563,0.21640013644741465,0.11835275792278073,0.9,0.8666666666666667,0.03485254691689008,0.025996533795493933
