model,train_size,test_size,MAE,RMSE,R2
Random forest,8474,2119,0.525758614894375,0.7194182289172608,0.7125023864004563
Ridge regression,8474,2119,0.6850645833938971,0.9136553323935236,0.5363010048913641
Gradient boosting,8474,2119,0.7351528507621126,0.929902983886247,0.5196623258930041
Dummy mean,8474,2119,1.1037592663487392,1.3424151890884637,-0.0010253670814650562
