model,train_size,test_size,train_scaffolds,test_scaffolds,scaffold_overlap,MAE,RMSE,R2
Random forest,8471,2122,3117,570,0,0.6667289260758611,0.8706715071513551,0.5503623893513977
Gradient boosting,8471,2122,3117,570,0,0.8074569637198827,1.0144287314628535,0.3896245620007228
Ridge regression,8471,2122,3117,570,0,0.8128521093852351,1.0520068936127445,0.34356589305141727
Dummy mean,8471,2122,3117,570,0,1.0768154538053771,1.2990353033931274,-0.0009119501205459013
