similarity_bin,count,MAE,RMSE
<0.3,149.0,0.9570007427171952,1.199194276859186
0.3-0.5,792.0,0.8423413772888553,1.0721995228584384
0.5-0.7,3372.0,0.7449238320233154,0.9465446455132005
>0.7,6280.0,0.5136173800668334,0.6969595114018834
