molecule_chembl_id,molecule_hash,scaffold_hash,predicted_pIC50,max_tanimoto_to_train,similarity_bin,out_of_domain_flag,rf_prediction_std,interval_lower_90,interval_upper_90,model_risk_category,QED,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,lipinski_violations,pains_flag,pains_alert_count,brenk_flag,brenk_alert_count,unwanted_substructure_flag,unwanted_substructure_count,medchem_alert_flag,medchem_alert_count,medchem_alert_summary,synthetic_accessibility_status,synthetic_accessibility_score,property_penalty,model_risk_penalty,uncertainty_penalty,final_score,triage_risk_bin,triage_reason,final_triage_category,true_pIC50,absolute_error
CHEMBL5997498,840813e0946f,ebdc73040f55,10.029329632441904,0.8714285714285714,high,False,0.1285714285714285,8.666877820779192,11.391781444104616,low,0.5954445269709847,471.9200000000004,4.595500000000005,79.82000000000002,1,7,4,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,10.624774159412889,low,no major triage flags,prioritize,10.34948500216801,0.3201553697261055
CHEMBL5790648,cd72c109fe9e,a7d5a3b39d24,9.872261831642932,0.8714285714285714,high,False,0.1285714285714285,8.50981001998022,11.234713643305644,low,0.6562395765631853,443.8660000000003,3.8153000000000032,79.82000000000002,1,7,4,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,10.528501408206118,low,no major triage flags,prioritize,10.539938336854638,0.6676765052117055
CHEMBL5968640,19c26cd628f2,a7d5a3b39d24,9.753637723642246,0.7866666666666666,high,False,0.2133333333333333,8.391185911979534,11.116089535304958,low,0.6144559265502137,457.89300000000026,4.205400000000003,79.82000000000001,1,7,5,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,10.36809365019246,low,no major triage flags,prioritize,10.409364114220269,0.6557263905780228
CHEMBL6054692,3da9a8f6bf24,a7d5a3b39d24,9.744299256207537,0.8,high,False,0.1999999999999999,8.381847444544825,11.106751067870247,low,0.5625737917677195,471.9200000000002,4.595500000000004,79.82000000000001,1,7,6,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,10.306873047975257,low,no major triage flags,prioritize,10.48088868081564,0.7365894246081055
CHEMBL174426,05da67cddcdd,c28414362dcd,9.70966039212096,0.9111111111111112,high,False,0.0888888888888888,8.347208580458247,11.072112203783671,low,0.5907366330453317,354.21100000000007,4.022600000000002,55.63,1,4,2,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,10.30039702516629,low,no major triage flags,prioritize,10.602059991327964,0.8923995992070051
CHEMBL5786982,5af4fb3c43b2,a7d5a3b39d24,9.545968237000688,0.7714285714285715,high,False,0.2285714285714285,8.183516425337976,10.9084200486634,low,0.6384041177146236,441.8940000000002,4.585300000000004,70.59,1,6,4,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,10.184372354715311,low,no major triage flags,prioritize,9.740348575382283,0.1943803383815954
CHEMBL5746224,5ba595360329,ebdc73040f55,9.385451320317316,0.7714285714285715,high,False,0.2285714285714285,8.022999508654603,10.747903131980028,low,0.640810719305486,441.8940000000002,4.586900000000004,70.59,1,6,3,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,10.026262039622802,low,no major triage flags,prioritize,10.420066076453717,1.0346147561363992
CHEMBL4749862,641e09fb0cbb,7a4199cf9767,9.337821553363057,0.8214285714285714,high,False,0.1785714285714286,7.975369741700344,10.700273365025769,low,0.4881157070111666,361.405,3.1740000000000004,95.95,3,6,6,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.825937260374223,low,no major triage flags,prioritize,9.221848749616356,0.1159728037466987
CHEMBL2031299,6fc7c2ed67ff,3cefafe781c8,9.131105424301444,0.8360655737704918,high,False,0.1639344262295081,7.768653612638731,10.493557235964156,low,0.5878037335925037,456.3440000000001,3.796700000000002,79.38,2,6,6,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.718909157893947,low,no major triage flags,prioritize,9.292429823902063,0.1613243996006197
CHEMBL4780965,2b14ce8fd052,7a4199cf9767,9.14302447794612,0.8695652173913043,high,False,0.1304347826086956,7.780572666283408,10.505476289608833,low,0.522783770081518,331.3790000000001,3.1654000000000018,86.72,3,5,5,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.665808248027638,low,no major triage flags,prioritize,8.698970004336019,0.4440544736101017
CHEMBL4789312,89b813bc39ee,c3600219d66e,9.030281324705395,0.8163265306122449,high,False,0.183673469387755,7.667829513042683,10.392733136368108,low,0.522783770081518,331.3790000000001,3.1654000000000018,86.72,3,5,5,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.553065094786913,low,no major triage flags,prioritize,8.657577319177793,0.3727040055276038
CHEMBL2031298,bd488b4f6dd7,561d1eb7eb61,8.999552795848235,0.8983050847457628,high,False,0.1016949152542372,7.637100984185523,10.362004607510949,low,0.5517540108550381,454.3720000000001,4.950400000000004,70.15,2,5,6,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.551306806703273,low,no major triage flags,prioritize,9.568636235841012,0.5690834399927773
CHEMBL5269375,083c2f8db76f,a68a0d7dd4f9,9.113121997519745,0.8732394366197183,high,False,0.1267605633802817,7.750670185857032,10.475573809182457,low,0.4106761555683715,486.5760000000003,3.925900000000003,84.75,1,8,6,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.523798153088116,low,no major triage flags,prioritize,7.638272163982407,1.474849833537336
CHEMBL53753,11ddb592c8ea,4c8e4b345a30,8.689247997438493,0.8181818181818182,high,False,0.1818181818181817,7.32679618577578,10.051699809101205,low,0.7686164717854101,330.189,3.572600000000002,62.73,2,5,3,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.457864469223903,low,no major triage flags,prioritize,9.49148333035061,0.802235332912117
CHEMBL5956184,40d8c241957c,309a6de60e14,9.04241408921417,0.7605633802816901,high,False,0.2394366197183098,7.679962277551457,10.404865900876882,low,0.4112727710292109,428.4670000000001,4.824300000000004,79.04,3,4,6,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.45368686024338,low,no major triage flags,prioritize,8.858575698582676,0.1838383906314931
CHEMBL165864,75345a59c949,4c8e4b345a30,8.804322935308953,0.8367346938775511,high,False,0.1632653061224489,7.441871123646241,10.166774746971663,low,0.6490621421214132,360.21500000000003,2.9351000000000003,82.96,3,6,5,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.453385077430367,low,no major triage flags,prioritize,9.721246399047171,0.9169234637382182
CHEMBL2031300,1047588158f9,037a99476f47,8.837577290424592,0.85,high,False,0.15,7.47512547876188,10.200029102087305,low,0.5737333346179045,469.38700000000017,3.7119000000000018,73.39,2,6,6,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.411310625042496,low,no major triage flags,prioritize,9.638272163982409,0.8006948735578163
CHEMBL6026192,63ae01263346,b863e5758f53,9.265376296076283,0.8421052631578947,high,False,0.1578947368421053,7.902924484413571,10.627828107738996,low,0.3881810658961396,594.5900000000001,4.390900000000002,113.02,3,7,6,1,False,0,False,0,False,0,False,0,none,not_available,,0.25,0.0,0.0,9.403557361972423,medium,no major triage flags,prioritize,8.236572006437063,1.028804289639222
CHEMBL5998662,d50b13b922ab,b863e5758f53,9.265376296076283,0.8421052631578947,high,False,0.1578947368421053,7.902924484413571,10.627828107738996,low,0.3881810658961396,594.5900000000001,4.390900000000002,113.02,3,7,6,1,False,0,False,0,False,0,False,0,none,not_available,,0.25,0.0,0.0,9.403557361972423,medium,no major triage flags,prioritize,8.167491087293763,1.0978852087825215
CHEMBL4164805,2164dc0ae934,e22457441a57,8.99989142640427,0.7540983606557377,high,False,0.2459016393442623,7.637439614741558,10.362343238066982,low,0.3861837707859719,390.443,3.2713,103.29,4,6,7,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.386075197190241,low,no major triage flags,prioritize,9.69897000433602,0.6990785779317505
CHEMBL54400,78367b0cb3c9,4b4d2530bd5a,8.598363888633695,0.8181818181818182,high,False,0.1818181818181817,7.235912076970983,9.960815700296408,low,0.7686164717854101,330.1890000000001,3.5726000000000013,62.73,2,5,3,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.366980360419106,low,no major triage flags,prioritize,9.886056647693165,1.2876927590594691
CHEMBL53711,f5992c62d041,4c8e4b345a30,8.563924929788795,0.8222222222222222,high,False,0.1777777777777778,7.201473118126083,9.926376741451508,low,0.7868681517234083,344.216,3.596900000000001,53.94,1,5,3,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.350793081512204,low,no major triage flags,prioritize,8.252922702990778,0.311002226798017
CHEMBL127041,4f843c4f94a8,4b4d2530bd5a,8.679023850503125,0.8367346938775511,high,False,0.1632653061224489,7.3165720388404125,10.041475662165835,low,0.6490621421214132,360.21500000000003,2.9351000000000003,82.96,3,6,5,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.328085992624539,low,no major triage flags,prioritize,9.61987925516028,0.9408554046571548
CHEMBL163168,ff7c4e50c292,4c8e4b345a30,8.732572446058231,0.8490566037735849,high,False,0.150943396226415,7.370120634395519,10.095024257720944,low,0.5950398106876298,388.2250000000001,3.4175000000000013,100.03,3,6,6,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.327612256745862,low,no major triage flags,prioritize,6.9581949474188445,1.774377498639387
CHEMBL52076,54cab6801fe7,4b4d2530bd5a,8.564733477952633,0.8095238095238095,high,False,0.1904761904761904,7.20228166628992,9.927185289615345,low,0.7594760025403341,316.16200000000003,3.113100000000001,76.72,2,5,2,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.324209480492966,low,no major triage flags,prioritize,8.0,0.5647334779526325
CHEMBL5893218,114f29977652,b863e5758f53,9.185408485772395,0.934065934065934,high,False,0.065934065934066,7.822956674109683,10.547860297435108,low,0.3852644853574808,621.6600000000004,4.960200000000003,96.03,2,7,7,1,False,0,False,0,False,0,False,0,none,not_available,,0.25,0.0,0.0,9.320672971129877,medium,no major triage flags,prioritize,9.00436480540245,0.1810436803699477
CHEMBL4776751,e93b0f039d58,e22457441a57,8.944596769179633,0.71875,high,False,0.28125,7.58214495751692,10.307048580842345,low,0.3758612351097897,403.44200000000006,2.8779000000000003,126.15,4,6,7,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.320458004289423,low,no major triage flags,prioritize,9.30102999566398,0.3564332264843468
CHEMBL6032856,2e22cf51b1c1,6d9176ab8190,9.163210497449793,0.934065934065934,high,False,0.065934065934066,7.80075868578708,10.525662309112503,low,0.4064996569090803,607.6330000000004,4.570100000000003,96.03,2,7,7,1,False,0,False,0,False,0,False,0,none,not_available,,0.25,0.0,0.0,9.319710154358873,medium,no major triage flags,prioritize,8.795880017344075,0.3673304801057178
CHEMBL5816591,527a2ab0b721,6d9176ab8190,9.163210497449793,0.934065934065934,high,False,0.065934065934066,7.80075868578708,10.525662309112503,low,0.4064996569090803,607.6330000000004,4.570100000000003,96.03,2,7,7,1,False,0,False,0,False,0,False,0,none,not_available,,0.25,0.0,0.0,9.319710154358873,medium,no major triage flags,prioritize,9.522878745280336,0.3596682478305428
CHEMBL5087955,07e53428d9d5,e418e017632b,9.089500472755455,0.5576923076923077,medium,False,0.4423076923076923,7.727048661092743,10.451952284418168,medium,0.76491797581635,323.39600000000013,4.128520000000003,56.27000000000001,1,5,5,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.35,0.2,9.304418448571807,low,no major triage flags,prioritize,5.552841968657781,3.536658504097675
CHEMBL5275642,4e44ae246a2d,a68a0d7dd4f9,9.170960546326546,0.8552631578947368,high,False,0.1447368421052631,7.8085087346638336,10.533412357989258,low,0.3553327930630014,514.6300000000003,4.704500000000004,84.75000000000001,1,8,7,1,False,0,False,0,False,0,False,0,none,not_available,,0.25,0.0,0.0,9.276293339389547,medium,no major triage flags,prioritize,8.897940008672037,0.2730205376545083
CHEMBL128987,ebae0526c94e,27d09163edaf,8.63392275504007,0.896551724137931,high,False,0.1034482758620689,7.271470943377357,9.996374566702782,low,0.6231140863863043,429.3220000000003,3.275000000000001,75.2,2,7,6,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.257036841426373,low,no major triage flags,prioritize,8.489991487059765,0.1439312679803048
CHEMBL5921815,07c51553f49e,ebdc73040f55,8.66301429247208,0.7333333333333333,high,False,0.2666666666666667,7.300562480809368,10.025466104134791,low,0.5684504150731631,483.9560000000005,4.465000000000004,89.05000000000001,1,8,5,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.231464707545245,low,no major triage flags,prioritize,7.388961869838864,1.2740524226332166
CHEMBL162622,e99695d08e8e,e925d22996e7,8.599878222327868,0.896551724137931,high,False,0.1034482758620689,7.237426410665156,9.96233003399058,low,0.6231140863863042,429.32200000000034,3.275000000000001,75.2,2,7,6,0,False,0,False,0,False,0,False,0,none,not_available,,0.0,0.0,0.0,9.222992308714172,low,no major triage flags,prioritize,8.62863743434765,0.0287592120197821
