model,train_size,test_size,MAE,RMSE,R2
Random forest,8474,2119,0.5157747695703595,0.7118264643207324,0.7185380912010486
Ridge regression,8474,2119,0.6611717919818306,0.876409370202651,0.5733365972521609
Gradient boosting,8474,2119,0.7332194050023156,0.930975052392466,0.5185541420440897
Dummy mean,8474,2119,1.1037592663487392,1.3424151890884637,-0.0010253670814650562
